bus_number,missing_stop_name,stop_before,stop_after,chosen_correct_stop,reasoning
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,A.H.ANSARI CHOWK,DR.M.IQBAL CHOWK (J J HOSPITAL),ST.MARY S HIGH SCHOOL (MAZGAON),A.H.ANSARI CHOWK (NAGPADA),"Geo: 0, Name: 90, Final: 36"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,ANJANABAI MAGAR,KURLA (W) LEVEL CROSSING,KURLA DEPOT,"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK","Geo: 0, Name: 90, Final: 36"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,DARU KHANA,BEST POWER HOUSE (KUSSARA),REAY ROAD BRIDGE,DARUKHANA,"Geo: 0, Name: 95, Final: 38"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,GANDHI MARKET (MATUNGA),AMULAKH HIGH SCHOOL,LOKMANYA TILAK HOSPITAL (SION),MATUNGA POLICE STATION (KINGS CIRCLE STATION),"Geo: 0, Name: 86, Final: 34"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,GOPAL BHUWAN (GHATKOPAR),GHATKOPAR PIPE LINE,NITYANAND NAGAR,GOPAL BHAVAN (GHATKOPAR-W),"Geo: 0, Name: 88, Final: 35"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,GURU NANAK NAGAR (KAMANI),"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",NARAYAN NAGAR (GHATKOPAR-E),"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)","Geo: 0, Name: 86, Final: 34"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,KURLA POST OFFICE,KURLA (W) LEVEL CROSSING,KURLA DEPOT,"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE","Geo: 0, Name: 90, Final: 36"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,LION'S PARK (KURLA),KURLA (W) LEVEL CROSSING,KURLA DEPOT,KURLA DEPOT,"Geo: 0, Name: 86, Final: 34"
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,MAHESHWARI UDYAN,AMULAKH HIGH SCHOOL,LOKMANYA TILAK HOSPITAL (SION),,No suitable candidate found.
10 LTD-HUTATMA CHOWK AND GHATKOPAR DEPOT,SARVODAYA HOSPITAL,GHATKOPAR PIPE LINE,NITYANAND NAGAR,SARVODAYA HOSPITAL (GHATKOPAR-W),"Geo: 0, Name: 90, Final: 36"
100-AHILYABAI HOLKAR CHOWK VIA MANTRALAYA AND BACK AHILYABAI HOLKAR CHOWK,FREE PRESS JOURNAL HOUSE,MANTRALAYA,FREE PRESS JOURNAL MARG,FREE PRESS JOURNAL MARG,"Geo: 0, Name: 83, Final: 33"
100-AHILYABAI HOLKAR CHOWK VIA MANTRALAYA AND BACK AHILYABAI HOLKAR CHOWK,NARIMAN POINT FIRE BRIGADE,MANTRALAYA,FREE PRESS JOURNAL MARG,,No suitable candidate found.
