name,latitude,longitude
"ELECTRIC HOUSE, COLABA DEPOT",18.920099,72.830029
"COLABA BUS STATION, POST OFFICE",18.911184,72.820905
DHOBI GHAT (NAVY NAGAR),18.906977,72.812432
DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),18.926071,72.831553
FOREIGN POST OFFICE,18.935157,72.840318
G.T.HOSPITAL,18.946082,72.831718
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS (GPO),18.938434,72.83660399999999
HUTATMA CHOWK,18.933019,72.831785
BALLARD PIER,18.937162,72.84036500000001
JOHAR CHOWK (BHENDI BAZAAR),18.958243,72.832421
KHADI BHANDAR,18.937637,72.834326
MAHATMA PHULE MARKET (CRAWFORD MARKET),18.947169,72.835392
RAILWAY CROSSING (MANDVI),18.95911,72.84616
"MANDVI POST OFFICE, MINARA MASJID",18.955732,72.83287900000001
OLD CUSTOM HOUSE,18.929787,72.834873
PILOT BUNDER,18.90473,72.815832
RESERVE BANK OF INDIA (FORT),18.932651,72.836219
"SASOON DOCK, COLABA FIRE STATION",18.91594,72.82623599999999
HORNIMAN CIRCLE,18.93153,72.834131
STRAND CINEMA,18.916844,72.827089
SWADESHI MARKET,18.949251,72.828886
SWAMI DAYANAND SARASWATI CHOWK (FORT),18.937043,72.836966
TADWADI (MAZGAON),18.964454,72.839319
MALLET BUNDER,18.958045,72.847281
VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),18.944997,72.830371
VIJAY VALLABH CHOWK (PYDHONIE),18.954882,72.83212
ZAKERIA MASJID,18.952462,72.834239
R.C.CHURCH (COLABA),18.900103,72.813918
M.T.PARK,18.907473,72.81173800000001
FIRE BRIGADE,18.947317,72.840253
CHINCH BUNDER,18.958283,72.838517
MAZGAON DOCK,18.96576,72.846706
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS,18.938468,72.83469599999999
INS ASHWINI HOSPITAL,18.901522,72.814677
CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT),18.939165,72.83535000000001
BHULESHWAR,18.952803,72.830032
CARNAC BUNDER,18.949946,72.84091600000001
CENTRAL RAILWAY GOODS,18.960617,72.84356699999999
CHAKALA MARKET,18.950222,72.834506
COLABA BUS STATION,18.912649,72.82319099999999
VIJAY VALLABH CHOWK,18.954448,72.83194899999999
KENDRIYA VIDYALAYA 3 (COLABA),18.895411,72.810354
ANJEERWADI,18.973543,72.840243
BEST COLONY (WADALA),19.012688,72.853807
BEST COLONY (BHOIWADA),19.005448,72.848018
BHARATMATA CINEMA,18.995151,72.837749
BUSA UDHYOG BHAVAN,18.999677,72.850786
BYCULLA STATION (E),18.974469,72.833747
"BYCULLA STATION (EAST), GLORIA CHURCH",18.97559,72.83466799999999
KHODADAD CIRCLE (DADAR TT),19.015113,72.84559900000001
RUIA COLLEGE (MATUNGA-E),19.021295,72.850724
SHANTARAM PUJARE CHOWK (KALA CHOWKY),18.988375,72.836595
SAHAKAR NAGAR (WADALA-W),19.012108,72.851139
SEWREE NAKA,18.9987,72.849998
"SEWREE POLICE STATION, DARUKHANA",18.97962,72.849052
SHARDA CINEMA,19.014309,72.84612199999999
SHINDEWADI (DADAR-E),19.011669,72.843236
SPRING MILL,19.010073,72.848119
T.B.HOSPITAL (KIDWAI NAGAR),19.005043,72.851799
TATA HOSPITAL (BHOIWADA),19.004333,72.84291899999999
"VITTHAL MANDIR, WADALA MARKET",19.016454,72.852484
WADALA CHURCH,19.018389,72.85528499999999
WADALA BUS DEPOT,19.014738,72.852695
WADIA MATERNITY HOSPITAL,19.002852,72.842682
DADAR STATION (E),19.017506,72.844116
INDIRA NAGAR (SEWREE),18.992749,72.85457
COAL BUNDER,18.98332,72.85827999999999
CANTEEN STORES,18.981619,72.853685
I.C.I. (SEWREE),18.980877,72.85145300000001
JIJAMATA MUNICIPAL SCHOOL(BYCULLA-E),18.980264,72.840182
NEW HIND MILL MHADA COLONY,18.983779,72.841015
WADALA STATION (W),19.016973,72.858886
"INDIRA NAGAR, FROSBERRY ROAD",18.986587,72.851905
SEWREE KOLIWADA SCHOOL,18.999902,72.856382
A.H.ANSARI CHOWK (NAGPADA),18.970602,72.832696
AGRIPADA POLICE STATION,18.977416,72.82403100000001
AIR CONDITION MARKET,18.973515,72.814386
ALANKAR CINEMA,18.957579,72.826981
"MAHARASHTRA COLLEGE, ALEXANDRA CINEMA",18.967292,72.827353
ANJUMAN COLLEGE,18.96177,72.825648
B.P.T COLONY (DOCKYARD RD),18.964166,72.84148500000001
BHATIA HOSPITAL,18.965049,72.812969
BREACH CANDY HOSPITAL,18.972252,72.804948
BYCULLA STATION (W),18.977269,72.83216899999999
CHRIST CHURCH SCHOOL,18.96976,72.83001
DOCKYARD ROAD RAILWAY STATION,18.966183,72.84448399999999
DARUKHANA,18.971396,72.845316
AZAD FLOUR MILL,18.985369,72.841052
GADI ADDA,18.994646,72.85388500000001
MAHATMA GANDHI HOSPITAL (PAREL),18.997384,72.84035900000001
GANESH TALKIES (LALBAUG),18.989738,72.83461
GHODAPDEV,18.982073,72.842839
HAKOBA,18.988268,72.83877
HINDMATA CINEMA (PAREL),19.010034,72.84242999999999
HINDU CEMETARY(REAY ROAD),18.977549,72.846964
JACKERIA BUNDER,18.99167,72.847667
JAIHIND CINEMA,18.984382,72.83650299999999
JIJAMATA UDYAN (BYCULLA),18.979989,72.834104
ROBERT GOMES CHOWK (BYCULLA-E),18.980677,72.836316
K.E.M.HOSPITAL,19.001549,72.840755
SHRAWAN YASHWANTE CHOWK (KALA CHOWKY),18.987583,72.841525
KALA CHOWKY POLICE STATION,18.987972,72.84294
MINT COLONY,18.994424,72.84432200000001
LAL BAHADUR SHASTRI COLLEGE,18.980583,72.859279
SANT JAGNADE CHOWK (LALBAUG),18.991717,72.83627
MADKEBUWA CHOWK (PAREL),19.004386,72.841038
MADHAV NAGAR (WADALA-W),19.011884,72.854349
"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",18.976253,72.839938
NAIGAON POLICE COLONY,19.007489,72.847171
PRABODHANKAR THACKERAY UDYAN BUS STATION (SEWREE),18.998196,72.852249
"PAREL VILLAGE, ST.GORA KUMBHAR CHOWK",19.000613,72.846008
REAY ROAD STATION,18.975976,72.844211
"PARSI DHARMASHALA, OM CHAMBERS",18.964645,72.80549600000001
PARSI GENERAL HOSPITAL,18.968574,72.80365
PLAY HOUSE,18.961759,72.822458
PRARTHANA SAMAJ,18.958035,72.820334
PREM NAGAR,18.94972,72.794268
PRIYADARSHINI PARK (NAPEAN SEA ROAD),18.956853,72.799503
PT.PALUSKAR CHOWK (OPERA HOUSE)- MARWADI VIDYALAYA,18.957374,72.817381
"RAILWAY HOTEL, CHARNI ROAD JUNCTION",18.961387,72.81993199999999
SAIDHAM (GRANT ROAD),18.958087,72.816906
"A.H.ANSARI CHOWK, SALVATION ARMY",18.973001,72.827662
SHUKLAJI STREET,18.966223,72.824628
SIMLA HOUSE,18.95803,72.802397
ST.MARY S HIGH SCHOOL (MAZGAON),18.969781,72.835137
"TARDEO BUS STATION, RUSI MEHTA CHOWK",18.963881,72.82087
TWO TANKS,18.961618,72.827699
VATSALABAI DESAI CHOWK (HAJI ALI),18.977055,72.811809
VASANTRAO NAIK CHOWK (TARDEO),18.969965,72.81511999999999
VASANTRAO NAIK CHOWK,18.97039,72.815015
"GULAL WADI, YADNIK CHOWK",18.956424,72.828188
ABDUL REHMAN SUFI GRD (ZULA MAIDAN),18.974356,72.826701
GRANT ROAD STATION (W),18.964031,72.81591299999999
SANT GADGE MAHARAJ CHOWK (SAATRASTA),18.979732,72.82781799999999
"GOVERNMENT COLONY, INDIAN MEDICAL ASSOCIATION CHOWK",18.978701,72.81503600000001
DR.M.IQBAL CHOWK (J J HOSPITAL),18.962796,72.83178100000001
LALA LAJPATRAI COLLEGE,18.98217,72.81438799999999
BRADBURY MILL,18.977401,72.827136
GRANT ROAD BRIDGE,18.96188,72.815697
DONGRI JAIL,18.959104,72.836513
WADALA FLY OVER BRIDGE,19.018798,72.860671
ABHISHEK APARTMENTS,19.12135,72.826165
ARYA SAMAJ MANDIR,19.079447,72.83446600000001
"VILE PARLE (W), ASHOKA HALL",19.099361,72.839544
BALKANJI BARI SCHOOL,19.084758,72.832837
CHANDAN CINEMA,19.114391,72.827003
DR.COOPER HOSPITAL,19.107662,72.836782
GAGANDEEP,19.113588,72.836873
GOLDEN TOBACCO (VILE PARLE-W),19.104836,72.839569
HARE RAM HARE KRISHNA (ISKCON),19.113097,72.82624300000001
ERLA,19.109263,72.840687
J.V.P.D.BUS STATION,19.116169,72.831862
JUHU BEACH,19.095736,72.82816699999999
JUHU SHOPPING CENTRE (JVPD),19.115611,72.834847
VESAVA LINK ROAD,19.122948,72.824719
SAHAKARI BHANDAR (JUHU),19.103593,72.83190999999999
NAWAB TANK MARG,18.965551,72.844959
DR.BHADKAMKAR ROAD,18.960264,72.817217
GARLIC COMPANY,18.979118,72.828245
GOL MANDIR (BHULESHWAR),18.958087,72.82883200000001
NANA CHOWK,18.961925,72.8147
"PRARTHANA SAMAJ, HARKISHANDAS HOSPITAL",18.958505,72.819745
HYDERABAD ESTATE,18.956014,72.80085200000001
J.MEHTA MARG (NAPEAN SEA ROAD),18.951086,72.796223
KASTURBA GANDHI CHOWK (C.P.TANK),18.954453,72.825986
KHETWADI (GIRGAON),18.958046,72.822461
LALA LAJPATRAI COLLAGE,18.982098,72.814673
MAHARANA PRATAP CHOWK (MAZGAON),18.968385,72.840532
MADANPURA,18.969876,72.828053
MAFATLAL PARK,18.973472,72.805763
MAZGAON COURT,18.968718,72.83868
MUMBAI CENTRAL DEPOT,18.968202,72.824456
MUMBAI CENTRAL STATION,18.968715,72.822053
NAGPADA POLICE STATION,18.966652,72.82976499999999
NALANDA (CUMBALLA HILL),18.967114,72.807982
"NANA CHOWK, SHASTRI HALL",18.963613,72.813283
NAVJEEVAN SOCIETY (TARDEO),18.965316,72.81951100000001
"A.H.ANSARI CHOWK, NEW NAGPADA",18.966582,72.83258499999999
"NOVELTY CINEMA, DR.BHADKAMKAR ROAD",18.961847,72.81883000000001
"SANTACRUZ STATION (W) ROAD, KASHIBAI HOSPITAL",19.08505,72.83803399999999
"PARASMANI, MADHUKUNJ SOCIETY",19.107982,72.829949
MANO-BINA APARTMENTS,19.116157,72.84096700000001
NANAVATI HOSPITAL,19.095052,72.839519
PARSI COLONY (JUHU),19.09976,72.827551
VILE PARLE (W),19.101719,72.838849
ROYAL HOTEL(JUHU),19.092135,72.828175
SANTACRUZ DEPOT,19.091853,72.83859
KAPADIA NAGAR,19.075178,72.872704
KUNCHI KURVE NAGAR,19.077245,72.869938
KURLA STATION (W),19.067222,72.878998
KURLA DEPOT,19.075379,72.878823
"RAJMATA AHILYABAI HOLKAR UDYAN, KURLA LION S PARK",19.060804,72.872702
